HIGHEST_CRIME_AREA,MURDER,KIDNAPPING,DOWRY DEATHS,DACOITY,BURGLARY,CRUELTY BY HUSBAND OR HIS RELATIVES,DISTRICT,RAPE,ROBBERY,THEFT,TOTAL_CRIMES,YEAR,TOTAL IPC CRIMES,STATE_UT
WEST BENGAL,194,236,53,13,14,1696,24 PARGANAS NORTH,231,18,1183,9201,2007,9201,WEST BENGAL
WEST BENGAL,204,119,29,10,21,630,24 PARGANAS NORTH,88,60,1842,6894,2002,6894,WEST BENGAL
WEST BENGAL,202,99,23,14,46,447,24 PARGANAS NORTH,53,56,1679,6167,2001,6167,WEST BENGAL
WEST BENGAL,177,236,55,32,60,810,24 PARGANAS NORTH,176,72,2196,8827,2004,8827,WEST BENGAL
WEST BENGAL,192,419,67,15,19,1946,24 PARGANAS NORTH,192,43,1452,11247,2008,11247,WEST BENGAL
WEST BENGAL,193,135,24,29,29,672,24 PARGANAS NORTH,92,73,1988,7351,2003,7351,WEST BENGAL
WEST BENGAL,229,487,54,21,22,2225,24 PARGANAS NORTH,166,88,1959,13046,2009,13046,WEST BENGAL
WEST BENGAL,154,232,74,15,37,1049,24 PARGANAS NORTH,174,29,1440,7776,2006,7776,WEST BENGAL
WEST BENGAL,244,584,71,15,28,2378,24 PARGANAS NORTH,173,83,2312,15151,2010,15151,WEST BENGAL
WEST BENGAL,168,269,71,18,78,886,24 PARGANAS NORTH,217,39,1564,7958,2005,7958,WEST BENGAL
WEST BENGAL,107,54,48,15,16,480,24 PARGANAS SOUTH,47,33,1143,5827,2001,5827,WEST BENGAL
WEST BENGAL,125,93,47,8,7,822,24 PARGANAS SOUTH,89,30,1034,6556,2003,6556,WEST BENGAL
WEST BENGAL,263,215,48,12,9,2879,24 PARGANAS SOUTH,258,39,2732,15299,2010,15299,WEST BENGAL
WEST BENGAL,140,68,53,19,13,555,24 PARGANAS SOUTH,68,26,1068,5965,2002,5965,WEST BENGAL
WEST BENGAL,138,156,68,14,165,1105,24 PARGANAS SOUTH,190,17,1019,7396,2006,7396,WEST BENGAL
WEST BENGAL,212,128,63,17,11,2542,24 PARGANAS SOUTH,280,52,1982,13624,2009,13624,WEST BENGAL
WEST BENGAL,131,119,64,17,237,915,24 PARGANAS SOUTH,136,21,1071,6724,2005,6724,WEST BENGAL
WEST BENGAL,130,106,43,13,12,966,24 PARGANAS SOUTH,122,33,1597,7123,2004,7123,WEST BENGAL
WEST BENGAL,239,285,53,16,11,2551,24 PARGANAS SOUTH,308,35,1773,13920,2008,13920,WEST BENGAL
WEST BENGAL,158,306,67,14,20,1398,24 PARGANAS SOUTH,205,39,1440,8856,2007,8856,WEST BENGAL
ANDHRA PRADESH,85,90,13,6,200,428,ADILABAD,67,20,351,5312,2009,5312,ANDHRA PRADESH
ANDHRA PRADESH,100,52,20,7,193,240,ADILABAD,37,40,226,4675,2002,4675,ANDHRA PRADESH
ANDHRA PRADESH,101,62,16,9,198,175,ADILABAD,50,41,199,4154,2001,4154,ANDHRA PRADESH
ANDHRA PRADESH,113,54,14,4,177,296,ADILABAD,50,9,256,5011,2004,5011,ANDHRA PRADESH
ANDHRA PRADESH,98,62,18,5,196,429,ADILABAD,48,15,302,4955,2010,4955,ANDHRA PRADESH
ANDHRA PRADESH,112,94,21,4,211,335,ADILABAD,46,9,481,5685,2007,5685,ANDHRA PRADESH
ANDHRA PRADESH,108,84,21,9,191,280,ADILABAD,53,20,329,5033,2005,5033,ANDHRA PRADESH
ANDHRA PRADESH,99,121,22,10,228,423,ADILABAD,64,17,390,6122,2006,6122,ANDHRA PRADESH
ANDHRA PRADESH,73,56,5,3,248,355,ADILABAD,50,20,427,5300,2008,5300,ANDHRA PRADESH
ANDHRA PRADESH,107,76,11,8,207,238,ADILABAD,35,24,284,4881,2003,4881,ANDHRA PRADESH
UTTAR PRADESH,126,125,55,22,203,183,AGRA,27,60,724,3438,2003,3438,UTTAR PRADESH
UTTAR PRADESH,153,274,63,50,432,327,AGRA,66,171,1181,6662,2001,6662,UTTAR PRADESH
UTTAR PRADESH,127,301,83,15,181,381,AGRA,40,82,1770,6704,2009,6704,UTTAR PRADESH
UTTAR PRADESH,117,292,80,5,166,355,AGRA,26,56,1840,6919,2010,6919,UTTAR PRADESH
UTTAR PRADESH,125,206,70,10,196,282,AGRA,32,61,1053,5040,2004,5040,UTTAR PRADESH
UTTAR PRADESH,123,269,78,11,213,380,AGRA,30,57,1483,6135,2007,6135,UTTAR PRADESH
UTTAR PRADESH,123,216,63,9,250,351,AGRA,26,76,1524,6098,2006,6098,UTTAR PRADESH
UTTAR PRADESH,115,163,38,10,169,232,AGRA,29,71,1087,4799,2005,4799,UTTAR PRADESH
UTTAR PRADESH,158,176,50,18,272,372,AGRA,41,107,1059,5617,2002,5617,UTTAR PRADESH
UTTAR PRADESH,109,275,77,17,208,479,AGRA,42,61,1826,6925,2008,6925,UTTAR PRADESH
GUJARAT,82,237,12,26,799,1230,AHMEDABAD COMMR.,49,805,4659,21442,2010,21442,GUJARAT
GUJARAT,222,214,6,219,643,433,AHMEDABAD COMMR.,12,206,4007,14479,2002,14479,GUJARAT
GUJARAT,92,308,10,33,931,768,AHMEDABAD COMMR.,40,271,5711,17553,2004,17553,GUJARAT
GUJARAT,76,302,1,23,825,745,AHMEDABAD COMMR.,35,159,5359,17468,2005,17468,GUJARAT
GUJARAT,85,207,1,14,778,1185,AHMEDABAD COMMR.,44,538,5485,18544,2008,18544,GUJARAT
GUJARAT,90,218,3,31,959,595,AHMEDABAD COMMR.,18,365,5377,16199,2003,16199,GUJARAT
GUJARAT,90,169,7,18,695,530,AHMEDABAD COMMR.,39,192,3588,13496,2001,13496,GUJARAT
GUJARAT,83,230,5,16,751,1169,AHMEDABAD COMMR.,63,844,6283,20726,2009,20726,GUJARAT
GUJARAT,99,218,4,23,802,956,AHMEDABAD COMMR.,46,172,5388,19238,2006,19238,GUJARAT
GUJARAT,100,279,4,13,677,1221,AHMEDABAD COMMR.,37,417,4302,17310,2007,17310,GUJARAT
GUJARAT,36,37,1,14,114,67,AHMEDABAD RURAL,3,37,354,3404,2008,3404,GUJARAT
GUJARAT,28,32,0,9,94,72,AHMEDABAD RURAL,7,29,242,2925,2005,2925,GUJARAT
GUJARAT,30,50,0,7,133,172,AHMEDABAD RURAL,6,38,434,4006,2007,4006,GUJARAT
GUJARAT,47,29,0,9,82,92,AHMEDABAD RURAL,10,28,273,3020,2006,3020,GUJARAT
GUJARAT,26,36,1,9,96,65,AHMEDABAD RURAL,12,28,252,2813,2004,2813,GUJARAT
GUJARAT,19,62,1,13,125,131,AHMEDABAD RURAL,9,37,382,3241,2009,3241,GUJARAT
GUJARAT,38,23,1,15,97,61,AHMEDABAD RURAL,3,21,249,2638,2003,2638,GUJARAT
GUJARAT,63,15,7,8,98,66,AHMEDABAD RURAL,7,16,235,2772,2002,2772,GUJARAT
GUJARAT,26,27,0,15,122,84,AHMEDABAD RURAL,5,25,225,2146,2001,2146,GUJARAT
GUJARAT,31,47,0,7,102,113,AHMEDABAD RURAL,8,23,303,3373,2010,3373,GUJARAT
MAHARASHTRA,97,49,0,20,312,496,AHMEDNAGAR,44,104,715,4391,2001,4391,MAHARASHTRA
MAHARASHTRA,92,41,0,29,392,338,AHMEDNAGAR,56,84,1025,5241,2005,5241,MAHARASHTRA
MAHARASHTRA,122,71,10,58,579,604,AHMEDNAGAR,57,155,1517,7215,2010,7215,MAHARASHTRA
MAHARASHTRA,86,50,0,36,400,467,AHMEDNAGAR,68,100,1341,6173,2006,6173,MAHARASHTRA
MAHARASHTRA,134,69,0,55,558,537,AHMEDNAGAR,49,117,1472,7070,2008,7070,MAHARASHTRA
MAHARASHTRA,98,37,0,30,309,277,AHMEDNAGAR,41,108,969,4738,2004,4738,MAHARASHTRA
MAHARASHTRA,99,49,3,49,458,475,AHMEDNAGAR,55,107,1344,6753,2007,6753,MAHARASHTRA
MAHARASHTRA,81,59,0,52,479,557,AHMEDNAGAR,55,146,1399,6530,2009,6530,MAHARASHTRA
MAHARASHTRA,82,34,8,19,352,280,AHMEDNAGAR,45,97,841,4506,2002,4506,MAHARASHTRA
MAHARASHTRA,101,41,15,17,302,287,AHMEDNAGAR,44,102,786,4251,2003,4251,MAHARASHTRA
GUJARAT,7,2,0,0,2,11,AHWA-DANG,3,0,13,231,2008,231,GUJARAT
GUJARAT,6,3,0,0,6,2,AHWA-DANG,1,1,8,147,2001,147,GUJARAT
GUJARAT,6,1,0,1,4,7,AHWA-DANG,4,1,12,170,2002,170,GUJARAT
GUJARAT,6,0,0,1,2,3,AHWA-DANG,0,2,5,104,2003,104,GUJARAT
GUJARAT,8,0,0,0,6,7,AHWA-DANG,5,2,11,292,2007,292,GUJARAT
GUJARAT,5,0,0,0,2,5,AHWA-DANG,5,1,3,146,2005,146,GUJARAT
GUJARAT,11,0,0,0,2,2,AHWA-DANG,1,0,6,154,2010,154,GUJARAT
GUJARAT,5,0,0,0,5,4,AHWA-DANG,3,0,2,153,2009,153,GUJARAT
GUJARAT,7,0,0,2,2,11,AHWA-DANG,3,1,16,280,2006,280,GUJARAT
GUJARAT,4,0,0,0,3,3,AHWA-DANG,2,1,5,124,2004,124,GUJARAT
MIZORAM,14,14,0,0,214,4,AIZAWL,27,2,408,1048,2009,1048,MIZORAM
MIZORAM,23,6,0,1,227,2,AIZAWL,34,7,453,1110,2010,1110,MIZORAM
MIZORAM,14,7,0,1,264,3,AIZAWL,24,14,709,1871,2003,1871,MIZORAM
MIZORAM,12,2,0,0,157,4,AIZAWL,39,3,393,976,2008,976,MIZORAM
MIZORAM,12,0,0,0,265,1,AIZAWL,26,8,562,1126,2001,1126,MIZORAM
MIZORAM,18,6,0,0,216,2,AIZAWL,35,3,464,1056,2007,1056,MIZORAM
MIZORAM,7,4,0,0,200,1,AIZAWL,31,3,407,998,2006,998,MIZORAM
MIZORAM,10,12,0,3,70,0,AIZAWL,6,2,350,670,2004,670,MIZORAM
MIZORAM,4,10,0,2,90,0,AIZAWL,10,2,230,534,2005,534,MIZORAM
MIZORAM,5,8,0,0,228,2,AIZAWL,36,2,542,1409,2002,1409,MIZORAM
RAJASTHAN,47,120,17,2,256,516,AJMER,45,31,701,6339,2008,6339,RAJASTHAN
RAJASTHAN,39,141,12,8,447,236,AJMER,16,46,748,6618,2001,6618,RAJASTHAN
RAJASTHAN,53,113,19,2,270,515,AJMER,31,24,867,6708,2007,6708,RAJASTHAN
RAJASTHAN,43,89,11,0,339,339,AJMER,26,33,859,5861,2005,5861,RAJASTHAN
RAJASTHAN,42,117,17,0,209,546,AJMER,47,25,694,6275,2009,6275,RAJASTHAN
RAJASTHAN,44,90,9,1,282,405,AJMER,53,27,893,6523,2006,6523,RAJASTHAN
RAJASTHAN,48,124,23,5,457,285,AJMER,27,42,737,6983,2002,6983,RAJASTHAN
RAJASTHAN,46,124,12,2,159,615,AJMER,47,14,656,6112,2010,6112,RAJASTHAN
RAJASTHAN,41,101,8,6,378,371,AJMER,48,47,817,6775,2004,6775,RAJASTHAN
RAJASTHAN,47,105,17,1,372,284,AJMER,36,48,736,6360,2003,6360,RAJASTHAN
MAHARASHTRA,46,26,3,10,285,184,AKOLA,21,56,1225,4594,2005,4594,MAHARASHTRA
MAHARASHTRA,47,30,1,4,305,135,AKOLA,25,39,995,4222,2006,4222,MAHARASHTRA
MAHARASHTRA,64,16,2,9,298,189,AKOLA,15,41,735,4020,2001,4020,MAHARASHTRA
MAHARASHTRA,59,26,4,8,314,156,AKOLA,28,41,729,3886,2002,3886,MAHARASHTRA
MAHARASHTRA,38,19,3,14,257,165,AKOLA,22,55,898,4067,2007,4067,MAHARASHTRA
MAHARASHTRA,55,25,6,15,314,147,AKOLA,38,57,957,4354,2004,4354,MAHARASHTRA
MAHARASHTRA,48,29,9,10,298,132,AKOLA,29,45,727,3900,2003,3900,MAHARASHTRA
MAHARASHTRA,43,40,10,10,308,131,AKOLA,21,77,943,4227,2009,4227,MAHARASHTRA
MAHARASHTRA,46,27,12,11,283,149,AKOLA,25,83,1053,4472,2010,4472,MAHARASHTRA
MAHARASHTRA,54,37,7,8,249,153,AKOLA,26,54,1002,4132,2008,4132,MAHARASHTRA
KERALA,27,22,0,6,171,259,ALAPUZHA,40,43,287,7842,2010,7842,KERALA
KERALA,8,24,2,11,234,247,ALAPUZHA,16,59,348,8373,2008,8373,KERALA
KERALA,18,16,0,5,191,213,ALAPUZHA,12,31,173,7082,2004,7082,KERALA
KERALA,19,21,3,6,203,264,ALAPUZHA,25,41,351,8161,2007,8161,KERALA
KERALA,23,12,3,5,200,178,ALAPUZHA,10,38,170,6975,2003,6975,KERALA
KERALA,27,22,1,11,207,227,ALAPUZHA,15,32,254,7700,2006,7700,KERALA
KERALA,18,23,2,5,234,165,ALAPUZHA,13,19,244,7578,2002,7578,KERALA
KERALA,23,29,1,6,226,201,ALAPUZHA,22,28,224,7622,2005,7622,KERALA
KERALA,22,10,1,2,227,105,ALAPUZHA,21,18,195,7319,2001,7319,KERALA
KERALA,20,18,1,7,220,217,ALAPUZHA,26,36,304,7654,2009,7654,KERALA
UTTAR PRADESH,139,200,58,6,137,213,ALIGARH,62,73,701,4069,2008,4069,UTTAR PRADESH
UTTAR PRADESH,130,311,69,25,248,318,ALIGARH,63,87,1068,5636,2010,5636,UTTAR PRADESH
UTTAR PRADESH,156,124,33,11,93,108,ALIGARH,24,83,454,2325,2003,2325,UTTAR PRADESH
UTTAR PRADESH,178,155,38,20,151,169,ALIGARH,31,111,576,3996,2002,3996,UTTAR PRADESH
UTTAR PRADESH,193,169,36,18,114,228,ALIGARH,58,111,804,3884,2004,3884,UTTAR PRADESH
UTTAR PRADESH,229,168,44,39,190,258,ALIGARH,50,182,727,4688,2001,4688,UTTAR PRADESH
UTTAR PRADESH,166,198,70,3,105,237,ALIGARH,50,67,680,3751,2007,3751,UTTAR PRADESH
UTTAR PRADESH,176,140,43,5,123,226,ALIGARH,61,80,885,4166,2005,4166,UTTAR PRADESH
UTTAR PRADESH,143,274,54,14,234,294,ALIGARH,58,129,1116,5733,2009,5733,UTTAR PRADESH
UTTAR PRADESH,177,154,50,4,110,179,ALIGARH,49,66,772,3851,2006,3851,UTTAR PRADESH
MADHYA PRADESH,59,14,1,1,42,7,ALIRAJPUR,41,3,86,1225,2008,1225,MADHYA PRADESH
MADHYA PRADESH,54,7,1,1,33,10,ALIRAJPUR,27,8,69,1330,2010,1330,MADHYA PRADESH
MADHYA PRADESH,70,10,1,2,33,1,ALIRAJPUR,31,12,60,1277,2009,1277,MADHYA PRADESH
UTTAR PRADESH,143,119,63,3,217,207,ALLAHABAD,26,47,606,4417,2007,4417,UTTAR PRADESH
UTTAR PRADESH,143,164,68,3,245,259,ALLAHABAD,49,62,763,5161,2008,5161,UTTAR PRADESH
UTTAR PRADESH,110,170,70,6,242,289,ALLAHABAD,38,51,773,5175,2009,5175,UTTAR PRADESH
UTTAR PRADESH,144,105,57,6,238,148,ALLAHABAD,23,55,579,3963,2004,3963,UTTAR PRADESH
UTTAR PRADESH,133,156,84,6,252,177,ALLAHABAD,33,55,899,4955,2010,4955,UTTAR PRADESH
UTTAR PRADESH,132,86,46,3,187,156,ALLAHABAD,22,40,523,3640,2006,3640,UTTAR PRADESH
UTTAR PRADESH,167,117,56,13,368,226,ALLAHABAD,42,81,850,6096,2001,6096,UTTAR PRADESH
UTTAR PRADESH,146,97,63,14,225,147,ALLAHABAD,40,51,642,4962,2002,4962,UTTAR PRADESH
UTTAR PRADESH,119,95,40,13,160,77,ALLAHABAD,21,44,359,2512,2003,2512,UTTAR PRADESH
UTTAR PRADESH,144,84,40,4,198,117,ALLAHABAD,17,48,487,3517,2005,3517,UTTAR PRADESH
UTTARAKHAND,22,6,6,0,16,6,ALMORA,6,17,48,254,2005,254,UTTARAKHAND
UTTARAKHAND,10,6,7,0,21,9,ALMORA,1,6,27,221,2004,221,UTTARAKHAND
UTTARAKHAND,3,5,4,0,16,4,ALMORA,3,1,15,162,2010,162,UTTARAKHAND
UTTARAKHAND,18,1,3,7,12,5,ALMORA,4,7,55,251,2001,251,UTTARAKHAND
UTTARAKHAND,17,2,11,2,22,6,ALMORA,3,14,55,324,2002,324,UTTARAKHAND
UTTARAKHAND,19,0,5,2,35,11,ALMORA,6,10,42,299,2007,299,UTTARAKHAND
UTTARAKHAND,9,5,4,1,20,11,ALMORA,4,12,37,246,2009,246,UTTARAKHAND
UTTARAKHAND,15,5,5,0,13,6,ALMORA,11,11,36,249,2006,249,UTTARAKHAND
UTTARAKHAND,15,1,9,1,23,5,ALMORA,1,9,47,254,2003,254,UTTARAKHAND
UTTARAKHAND,12,7,8,1,18,9,ALMORA,2,5,30,252,2008,252,UTTARAKHAND
RAJASTHAN,101,193,38,0,233,429,ALWAR,88,38,1272,8335,2008,8335,RAJASTHAN
RAJASTHAN,89,153,43,0,178,391,ALWAR,73,38,1241,8199,2007,8199,RAJASTHAN
RAJASTHAN,75,136,36,0,160,314,ALWAR,81,38,1093,7243,2006,7243,RAJASTHAN
RAJASTHAN,82,153,42,0,226,250,ALWAR,44,43,964,6814,2002,6814,RAJASTHAN
RAJASTHAN,80,102,42,2,222,274,ALWAR,50,40,1121,7118,2003,7118,RAJASTHAN
RAJASTHAN,60,105,30,0,203,276,ALWAR,43,31,1138,7163,2004,7163,RAJASTHAN
RAJASTHAN,78,111,31,1,143,297,ALWAR,52,42,1094,6921,2005,6921,RAJASTHAN
RAJASTHAN,85,151,43,1,286,235,ALWAR,34,52,964,7023,2001,7023,RAJASTHAN
RAJASTHAN,103,240,35,2,256,516,ALWAR,101,50,1611,10092,2009,10092,RAJASTHAN
RAJASTHAN,62,190,42,3,236,588,ALWAR,105,38,2128,9886,2010,9886,RAJASTHAN
HARYANA,24,29,9,1,179,130,AMBALA,19,15,275,2064,2005,2064,HARYANA
HARYANA,39,20,16,5,253,154,AMBALA,23,11,366,2378,2007,2378,HARYANA
HARYANA,28,22,11,3,208,227,AMBALA,10,7,243,2225,2004,2225,HARYANA
HARYANA,25,24,7,0,251,122,AMBALA,15,11,331,2172,2002,2172,HARYANA
HARYANA,26,28,7,1,236,129,AMBALA,10,14,208,1898,2003,1898,HARYANA
HARYANA,31,61,11,2,266,172,AMBALA,35,15,419,2560,2008,2560,HARYANA
HARYANA,39,28,9,7,308,174,AMBALA,19,18,438,2666,2006,2666,HARYANA
HARYANA,35,43,9,4,288,220,AMBALA,30,18,652,2848,2010,2848,HARYANA
HARYANA,35,24,14,5,244,155,AMBALA,28,21,421,2345,2009,2345,HARYANA
HARYANA,26,44,11,2,316,132,AMBALA,11,18,365,2346,2001,2346,HARYANA
UTTAR PRADESH,46,29,14,4,95,87,AMBEDKAR NAGAR,19,22,116,1379,2001,1379,UTTAR PRADESH
UTTAR PRADESH,47,33,13,1,44,42,AMBEDKAR NAGAR,11,25,123,886,2005,886,UTTAR PRADESH
UTTAR PRADESH,12,15,10,0,24,16,AMBEDKAR NAGAR,7,10,59,406,2003,406,UTTAR PRADESH
UTTAR PRADESH,36,63,15,0,22,102,AMBEDKAR NAGAR,19,14,113,1056,2009,1056,UTTAR PRADESH
UTTAR PRADESH,55,36,16,7,59,30,AMBEDKAR NAGAR,10,13,96,1028,2002,1028,UTTAR PRADESH
UTTAR PRADESH,37,58,18,1,28,98,AMBEDKAR NAGAR,20,14,130,1168,2010,1168,UTTAR PRADESH
UTTAR PRADESH,24,54,15,2,52,83,AMBEDKAR NAGAR,10,19,105,991,2006,991,UTTAR PRADESH
UTTAR PRADESH,33,57,13,1,27,133,AMBEDKAR NAGAR,18,13,131,1040,2008,1040,UTTAR PRADESH
UTTAR PRADESH,26,42,8,1,39,139,AMBEDKAR NAGAR,15,19,126,1027,2007,1027,UTTAR PRADESH
UTTAR PRADESH,37,30,4,0,35,26,AMBEDKAR NAGAR,10,28,108,793,2004,793,UTTAR PRADESH
MAHARASHTRA,44,31,10,10,259,55,AMRAVATI COMMR.,23,48,812,2837,2001,2837,MAHARASHTRA
MAHARASHTRA,18,11,4,4,228,85,AMRAVATI COMMR.,22,35,633,2439,2008,2439,MAHARASHTRA
MAHARASHTRA,19,24,1,0,242,54,AMRAVATI COMMR.,17,45,838,2740,2004,2740,MAHARASHTRA
MAHARASHTRA,27,14,4,2,275,68,AMRAVATI COMMR.,18,42,791,2665,2002,2665,MAHARASHTRA
MAHARASHTRA,31,18,3,6,316,77,AMRAVATI COMMR.,26,35,948,2986,2003,2986,MAHARASHTRA
MAHARASHTRA,30,22,3,6,237,74,AMRAVATI COMMR.,7,45,691,2643,2007,2643,MAHARASHTRA
MAHARASHTRA,27,19,3,5,196,76,AMRAVATI COMMR.,21,26,735,2591,2006,2591,MAHARASHTRA
MAHARASHTRA,16,26,0,3,227,99,AMRAVATI COMMR.,17,41,697,2629,2009,2629,MAHARASHTRA
MAHARASHTRA,30,14,2,0,169,57,AMRAVATI COMMR.,23,15,782,2573,2005,2573,MAHARASHTRA
MAHARASHTRA,11,34,3,3,232,96,AMRAVATI COMMR.,20,54,988,3079,2010,3079,MAHARASHTRA
MAHARASHTRA,78,20,10,11,241,132,AMRAVATI RURAL,60,21,927,3655,2005,3655,MAHARASHTRA
MAHARASHTRA,64,33,2,10,248,135,AMRAVATI RURAL,40,25,850,4574,2010,4574,MAHARASHTRA
MAHARASHTRA,51,28,11,8,214,123,AMRAVATI RURAL,58,26,761,3692,2007,3692,MAHARASHTRA
MAHARASHTRA,53,19,8,11,343,151,AMRAVATI RURAL,47,31,902,3763,2003,3763,MAHARASHTRA
MAHARASHTRA,75,31,1,8,254,149,AMRAVATI RURAL,49,24,867,4209,2009,4209,MAHARASHTRA
MAHARASHTRA,75,18,3,10,238,146,AMRAVATI RURAL,47,33,1003,4150,2008,4150,MAHARASHTRA
MAHARASHTRA,72,33,4,1,359,92,AMRAVATI RURAL,42,36,1031,3655,2001,3655,MAHARASHTRA
MAHARASHTRA,60,21,9,7,305,104,AMRAVATI RURAL,56,21,888,3660,2004,3660,MAHARASHTRA
MAHARASHTRA,58,23,5,15,392,95,AMRAVATI RURAL,66,47,1052,3922,2002,3922,MAHARASHTRA
MAHARASHTRA,67,24,4,3,266,131,AMRAVATI RURAL,44,24,845,3806,2006,3806,MAHARASHTRA
GUJARAT,19,28,0,0,88,98,AMRELI,6,26,164,1940,2003,1940,GUJARAT
GUJARAT,19,69,0,1,108,162,AMRELI,10,18,188,2167,2010,2167,GUJARAT
GUJARAT,24,51,2,3,127,127,AMRELI,11,18,186,3578,2005,3578,GUJARAT
GUJARAT,22,62,0,0,127,128,AMRELI,8,6,218,2391,2008,2391,GUJARAT
GUJARAT,30,49,0,3,98,162,AMRELI,7,11,172,2308,2007,2308,GUJARAT
GUJARAT,27,54,1,5,122,131,AMRELI,8,9,217,2226,2009,2226,GUJARAT
GUJARAT,28,29,1,4,118,116,AMRELI,5,11,158,2240,2004,2240,GUJARAT
GUJARAT,20,32,3,2,109,112,AMRELI,15,14,169,2432,2006,2432,GUJARAT
GUJARAT,41,44,2,4,127,94,AMRELI,2,25,199,2191,2001,2191,GUJARAT
GUJARAT,21,31,0,0,66,95,AMRELI,4,20,158,1851,2002,1851,GUJARAT
PUNJAB,43,50,5,2,137,78,AMRITSAR,21,21,445,2142,2007,2142,PUNJAB
PUNJAB,36,42,7,0,155,77,AMRITSAR,9,6,141,1244,2001,1244,PUNJAB
PUNJAB,54,55,7,1,108,85,AMRITSAR,15,12,430,2157,2009,2157,PUNJAB
PUNJAB,48,39,7,1,102,54,AMRITSAR,25,6,181,1444,2004,1444,PUNJAB
PUNJAB,44,31,5,5,138,55,AMRITSAR,13,16,349,1527,2006,1527,PUNJAB
PUNJAB,51,41,9,4,94,74,AMRITSAR,5,5,132,1320,2002,1320,PUNJAB
PUNJAB,47,26,2,0,52,44,AMRITSAR,5,4,121,1124,2005,1124,PUNJAB
PUNJAB,49,51,4,0,102,50,AMRITSAR,11,16,161,1422,2003,1422,PUNJAB
PUNJAB,46,64,6,1,142,66,AMRITSAR,15,21,466,2327,2008,2327,PUNJAB
PUNJAB,31,38,1,0,28,17,AMRITSAR RURAL,10,3,70,744,2007,744,PUNJAB
PUNJAB,31,22,4,0,44,26,AMRITSAR RURAL,14,4,74,738,2009,738,PUNJAB
PUNJAB,43,33,2,1,87,53,AMRITSAR RURAL,16,6,86,1194,2010,1194,PUNJAB
PUNJAB,29,29,6,1,40,27,AMRITSAR RURAL,10,2,68,693,2008,693,PUNJAB
GUJARAT,48,43,0,10,151,183,ANAND,8,14,359,3859,2002,3859,GUJARAT
GUJARAT,40,57,0,12,121,170,ANAND,11,16,508,3794,2008,3794,GUJARAT
GUJARAT,24,51,0,7,101,190,ANAND,15,13,440,3464,2010,3464,GUJARAT
GUJARAT,20,28,1,8,119,97,ANAND,7,17,320,3077,2005,3077,GUJARAT
GUJARAT,26,36,0,7,114,141,ANAND,14,11,367,3053,2006,3053,GUJARAT
GUJARAT,26,65,0,9,161,170,ANAND,10,21,589,3919,2007,3919,GUJARAT
GUJARAT,28,32,0,10,195,210,ANAND,3,14,427,3879,2001,3879,GUJARAT
GUJARAT,28,40,0,10,170,130,ANAND,5,19,432,3512,2003,3512,GUJARAT
GUJARAT,21,43,0,13,148,116,ANAND,12,16,361,3216,2004,3216,GUJARAT
GUJARAT,36,51,0,8,105,231,ANAND,13,8,412,3455,2009,3455,GUJARAT
ANDHRA PRADESH,172,90,12,17,178,137,ANANTAPUR,16,21,439,4545,2005,4545,ANDHRA PRADESH
ANDHRA PRADESH,154,144,12,10,222,0,ANANTAPUR,37,20,496,5734,2008,5734,ANDHRA PRADESH
ANDHRA PRADESH,173,75,4,4,190,146,ANANTAPUR,19,17,358,4582,2003,4582,ANDHRA PRADESH
ANDHRA PRADESH,184,102,16,13,223,189,ANANTAPUR,16,28,516,5090,2006,5090,ANDHRA PRADESH
ANDHRA PRADESH,149,139,14,10,203,0,ANANTAPUR,31,20,603,5182,2007,5182,ANDHRA PRADESH
ANDHRA PRADESH,140,76,14,9,176,143,ANANTAPUR,22,24,547,5181,2009,5181,ANDHRA PRADESH
ANDHRA PRADESH,166,81,9,13,196,151,ANANTAPUR,28,21,356,4467,2002,4467,ANDHRA PRADESH
ANDHRA PRADESH,137,102,20,18,291,250,ANANTAPUR,20,21,730,5854,2010,5854,ANDHRA PRADESH
ANDHRA PRADESH,151,76,7,8,191,154,ANANTAPUR,23,16,366,4125,2001,4125,ANDHRA PRADESH
ANDHRA PRADESH,152,71,11,8,208,147,ANANTAPUR,20,35,442,4296,2004,4296,ANDHRA PRADESH
JAMMU & KASHMIR,23,95,0,1,165,0,ANANTNAG,22,12,117,1511,2006,1511,JAMMU & KASHMIR
JAMMU & KASHMIR,10,74,0,1,115,0,ANANTNAG,13,7,149,1224,2008,1224,JAMMU & KASHMIR
JAMMU & KASHMIR,6,81,0,0,132,4,ANANTNAG,8,7,182,1393,2009,1393,JAMMU & KASHMIR
JAMMU & KASHMIR,77,88,0,3,125,0,ANANTNAG,9,19,105,1347,2003,1347,JAMMU & KASHMIR
JAMMU & KASHMIR,9,65,0,0,147,0,ANANTNAG,16,5,120,1310,2007,1310,JAMMU & KASHMIR
JAMMU & KASHMIR,37,88,0,4,146,1,ANANTNAG,9,22,122,1530,2005,1530,JAMMU & KASHMIR
JAMMU & KASHMIR,86,76,0,4,142,0,ANANTNAG,16,26,91,1358,2002,1358,JAMMU & KASHMIR
JAMMU & KASHMIR,70,71,0,7,151,0,ANANTNAG,17,30,92,1473,2004,1473,JAMMU & KASHMIR
JAMMU & KASHMIR,74,82,0,5,126,0,ANANTNAG,6,16,83,1104,2001,1104,JAMMU & KASHMIR
